pool	1	4	0.327826087
hello	2	4	0.476956522
grandpa*	3	4	0.503043478
uh oh	4	4	0.693478261
does	5	4	0.140666667
fish (food)	6	4	0.376956522
bathroom	7	4	0.329565217
party	8	4	0.230869565
box	9	4	0.379565217
belt	10	4	0.366666667
refrigerator	7	4	0.243043478
dranked	11	7	0.020666667
TV	7	4	0.402608696
bat	12	4	0.371333333
fast	13	4	0.243478261
person	3	4	0.076521739
ant	14	4	0.43
penny	9	4	0.219565217
pants	10	4	0.382608696
tooths	11	6	0.035333333
his	15	4	0.107391304
why	16	4	0.192173913
orange (food)	6	4	0.363043478
underpants	10	4	0.28
mittens	10	4	0.300666667
around	17	4	0.189333333
towel	9	4	0.342608696
high	13	4	0.334
sat	11	9	0.124
clap	18	4	0.488666667
drinked	11	7	0.064
bed	7	4	0.443478261
backyard	1	4	0.203043478
radio	9	4	0.202173913
tooth	19	4	0.388695652
kick	18	4	0.295652174
heavy	13	4	0.419333333
light	9	4	0.444782609
bump	18	4	0.252173913
want cookies / want cookies and milk	11	2	0
wented	11	7	0.005333333
chicken (food)	6	4	0.365217391
ate	11	9	0.222
doggie table / doggie on table	11	2	0
dry (action)	18	4	0.334666667
butterfly	14	4	0.342608696
donut	6	4	0.344666667
pen	12	4	0.322608696
puzzle	12	4	0.448666667
old	13	4	0.130869565
leg	19	4	0.353043478
yes	2	4	0.534782609
no	2	4	0.655652174
park	8	4	0.344347826
paper	9	4	0.36173913
pillow	9	4	0.374782609
so big!	2	4	0.352666667
tickle	18	4	0.335652174
ice cream	6	4	0.392608696
cry	18	4	0.343043478
teeths	11	6	0.098
tree	1	4	0.455217391
how	16	4	0.117826087
sandbox	1	4	0.296666667
horse	14	4	0.446521739
full	13	4	0.305333333
cup	9	4	0.482608696
sidewalk	1	4	0.278666667
hers	15	4	0.133333333
bad	13	4	0.28173913
snow	1	4	0.280434783
kitty	14	4	0.532608696
home	8	4	0.401304348
came	11	9	0.095333333
gum	6	4	0.332666667
stand	18	4	0.347333333
wait	18	4	0.343333333
washing machine	7	4	0.323333333
potty	7	4	0.41826087
hamburger	6	4	0.433333333
where mommy go / where did mommy go	11	2	0
her	15	4	0.125217391
mouses	11	6	0.046
I fall down / I fell down	11	2	0
wash	18	4	0.315652174
penis*	19	4	0.35
snowsuit	10	4	0.106666667
gonna/going to	5	4	0.274666667
spaghetti	6	4	0.297391304
garage	7	4	0.215652174
getted	11	7	0.014
room	7	4	0.428666667
drink (beverage)	6	4	0.420434783
ladder	1	4	0.298
shirt	10	4	0.399565217
bread	6	4	0.402173913
pig	14	4	0.430434783
did/did ya	5	4	0.260666667
woof woof	4	4	0.604782609
dish	9	4	0.211304348
toe	19	4	0.426956522
like	18	4	0.364666667
salt	6	4	0.246
street	1	4	0.380666667
